mediatype,htype,dc_type_de,count,rdf_type_w,rdf_type_m,notes,mapped
mt001,,Audiofile,7,,https://w3id.org/ac-ontology/aco#AudioManifestation,Often recordings of theater performances.,yes
mt001,,Inszenierung,3,,https://w3id.org/ac-ontology/aco#AudioManifestation,Often recordings of theater performances.,yes
mt002,,Abbildungen,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Abguss,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Abhandlung,3,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Abzeichen,10,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Abzeichen Roter Frontkämpferbund,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Akzidenz,2,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Akzidenzdruck (Verlagsanzeige),1,http://purl.org/vra/Work,,2D artwork — sparte006,yes
mt002,,Album,11,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Album für Liebig-Bilder Nr. 451-500,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Albumblatt (Papier),1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Anschlagzettel,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Ansichtskarte,3,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Photo Work — sparte006,yes
mt002,,Ansichtspostkarte,10,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Anthologie,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Aquarell,3,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Aquatinta,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Architekturmodell,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Archivalie,25,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Archivalien (Fotografie),1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Archivalien (Schriftliche Nachlässe),37,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Audiofile,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Aufführungsprogramm,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Aufkleber,3,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Aufzeichnungen,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Ausstellungsführer,5,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Ausstellungskatalog,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Autograph,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Banknote,7,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Becher,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Bekanntmachung,3,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Belletristik,2,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Bierdeckel,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Bild,46,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Bildermappe,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Bilderrolle,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Bildhauermodell (Kleinkunst / Modell),1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Bildnis,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Bildwerk,7,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Blaupause,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Bleistifthalter,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Bleistiftzeichnung,3,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Brief,41,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Briefkarte,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Briefumschlag,2,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Buch,49,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Buchgrafik (Illustration),2,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Buchgrafik (Innentitel),1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Buchgrafik (Seite) / Typografie (Schriftmuster),1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Buchgrafik (Titel),1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Buchgrafik (Titel) / Typografie (Schriftmuster),1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Buchseite,7,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Bühnenbild,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Bühnenbildentwurf,4,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Bühnenbildmodell,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Bühnenbildmodell (Nachbau),2,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Büste,19,http://purl.org/vra/Work,,3D object — any sector,yes
mt002,,Carte de Visite,8,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Chromolithographie,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Collage,5,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Comic,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Deckel oder Spielebrett eines Unterhaltungsspiels,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Deckelkrug,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Denkmalentwurf,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Denkmalreduktion,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Dia,6,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Dokument,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Dokument / einfacher Geschäftsbrief,2,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Dokumentarfotografie,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Dose,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Druck,79,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Druck (aus Serie),2,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Druck Einzeichnung,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Druckerzeugnis,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Druckgrafik,82,http://purl.org/vra/Work,,2D artwork — sparte006,yes
mt002,,Druckgrafik (allgemein),1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Druckgraphik,2576,http://purl.org/vra/Work,,2D artwork — sparte006,yes
mt002,,Druckschrift,57,http://purl.org/vra/Work,,2D artwork — sparte006,yes
mt002,,Druckwerk,3,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Druckwerk; Buch,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,"Druckwesen, Schriftwesen*",1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Dörrofen,3,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Edison-Walze,2,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Einladung,8,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Einladungskarte,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
mt002,,Einsätze für Amboß,1,http://purl.org/vra/Work,,Sector default — sparte006,yes
