mediatype,htype,dc_type_de,count,rdf_type_w,rdf_type_m,notes,mapped
mt001,,Schallplatte,1,http://purl.org/ontology/mo/MusicalWork,http://purl.org/ontology/mo/MusicalManifestation,https://d-nb.info/gnd/4052032-8,yes
mt001,,Schellackplatte,422,http://purl.org/ontology/mo/MusicalWork,http://purl.org/ontology/mo/MusicalManifestation,,yes
mt001,,Tonbandspule,1,,,,no
mt002,,Album,1,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Sector default — sparte005,yes
mt002,,Album Druck,1,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Sector default — sparte005,yes
mt002,,Album Print,3,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Sector default — sparte005,yes
mt002,,Album Zeichnung,138,http://purl.org/vra/Work,,2D artwork — sparte005,yes
mt002,,Anhänger,1,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Sector default — sparte005,yes
mt002,,Aquarell,2,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Sector default — sparte005,yes
mt002,,Archiv,1,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Sector default — sparte005,yes
mt002,,Ausstellungsgebäude,1,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Sector default — sparte005,yes
mt002,,Autograph,4,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Sector default — sparte005,yes
mt002,,Bild,6,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Photo Work (media library only) — sparte005,yes
mt002,,Bilddokument,12,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Photo Work — sparte005,yes
mt002,,Brief,2,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Sector default — sparte005,yes
mt002,,Buch,16,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Sector default — sparte005,yes
mt002,,Buch Druck,27,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Sector default — sparte005,yes
mt002,,Buch Druck Einband,2,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Sector default — sparte005,yes
mt002,,Buch Druck Text,4,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Sector default — sparte005,yes
mt002,,Buch Zeichnung,1,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Sector default — sparte005,yes
mt002,,Buchausstattung,1,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Sector default — sparte005,yes
mt002,,Bucheinband,1,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Sector default — sparte005,yes
mt002,,Börse,1,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Sector default — sparte005,yes
mt002,,Büste,3,http://purl.org/vra/Work,,3D object — any sector,yes
mt002,,Büste & Sockel,1,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Sector default — sparte005,yes
mt002,,Daguerreotypie,1,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Sector default — sparte005,yes
mt002,,Deckenbild,2,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Sector default — sparte005,yes
mt002,,Denkmal,14,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImmovableWork,,Built heritage — any sector,yes
mt002,,Druck,834,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Photo Work (media library only) — sparte005,yes
mt002,,Druck Landkarte,1,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Sector default — sparte005,yes
mt002,,Druck Serie,1,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Sector default — sparte005,yes
mt002,,Einband,6,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Sector default — sparte005,yes
mt002,,Esszimmer,1,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Sector default — sparte005,yes
mt002,,Fassade & Gartenmauer,1,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Sector default — sparte005,yes
mt002,,Filmszene,3,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Sector default — sparte005,yes
mt002,,Folge,4,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Sector default — sparte005,yes
mt002,,Foto,1,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Photo Work — sparte005,yes
mt002,,Fotoalbum,32,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Photo Work — sparte005,yes
mt002,,Fotografie,1898,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Photo Work — sparte005,yes
mt002,,Fotogramm,1,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Sector default — sparte005,yes
mt002,,Gartenhaus,10,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Sector default — sparte005,yes
mt002,,Gartentempel,4,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Sector default — sparte005,yes
mt002,,Gasthaus,1,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Sector default — sparte005,yes
mt002,,Gaststätte,1,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Sector default — sparte005,yes
mt002,,Gedenkstein,1,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Sector default — sparte005,yes
mt002,,Gedenktafel,2,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImageWork,,Sector default — sparte005,yes
