mediatype,htype,dc_type_de,count,rdf_type_w,rdf_type_m,notes,mapped
mt002,,Straße,1,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,Default (D9),yes
mt002,,Streetart,12,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,Default (D9),yes
mt002,,Studie,18,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,Default (D9),yes
mt002,,Supraporte,1,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,Default (D9),yes
mt002,,Theater,2,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,Default (D9),yes
mt002,,Titelblatt,1,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,Default (D9),yes
mt002,,Tuschfederzeichnung,1,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,Default (D9),yes
mt002,,Tuschpinselzeichnung,1,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,Default (D9),yes
mt002,,Türklinke,1,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,Default (D9),yes
mt002,,Universität,4,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,Default (D9),yes
mt002,,Universitätsinstitut,19,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImmovableWork,,Built heritage — any sector,yes
mt002,,Vorderhaus,1,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,Default (D9),yes
mt002,,Vorhalle,1,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,Default (D9),yes
mt002,,Vorzeichnung,1,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,Default (D9),yes
mt002,,Wandbild,1,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,Default (D9),yes
mt002,,Warenhaus,1,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,Default (D9),yes
mt002,,Waschraum,1,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,Default (D9),yes
mt002,,Wohn- und Gasthaus,1,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,Default (D9),yes
mt002,,Wohnhaus,4,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#ImmovableWork,,Built heritage — any sector,yes
mt002,,Zeichnung,39,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,Default (D9),yes
mt002,,Zeichnung?,1,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,Default (D9),yes
mt002,,Zimmer,1,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,Default (D9),yes
mt002,,abstrakte Skulptur,1,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,Default (D9),yes
mt002,htype_015,Illustration,6,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,Default (D9),yes
mt002,htype_034,Archivale,4,,https://ise-fizkarlsruhe.github.io/ddbkg/mocho#Manifestation,Default (D9),yes
mt003,htype_001,Abschnitt,162,,,,no
mt003,htype_007,Band,2,,,,no
mt003,htype_018,Kapitel,91,,,,no
mt003,htype_021,Monografie,5,,,,no
mt007,,Druck,1,,,,no
mt007,,Folge,2,,,,no
mt007,,Fotografie,1,,,,no
mt007,,Skizze,5,,,,no
mt007,,Sockel,1,,,,no
mt007,,Studie,2,,,,no
mt007,,Supraporte,1,,,,no
mt007,,Vorzeichnung,9,,,,no
mt007,,Wohnhaus,1,,,,no
mt007,,Zeichnung,2,,,,no
mt007,,Zyklus,1,,,,no
mt007,htype_034,Archivale,27,,,,no
